
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[  5797506 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 32, index = 1, nodes processed = 1160683
[  5834838 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1168227
[  5872224 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 1, nodes processed = 1175769
[  5908914 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1183161
[  5945818 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1190671
[  5982858 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1198270
[  6020218 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1205812
[  6057514 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1213305
[  6094534 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1220673
[  6131456 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 0, nodes processed = 1228162
[  6168462 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1235690
[  6205362 ns] [top.task_PE_4] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1243125
[  6242162 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1250585
[  6279178 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1258107
[  6315962 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1265501
[  6352754 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1272936
[  6389810 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 32, index = 1, nodes processed = 1280493
[  6426904 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1288084
[  6463730 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1295533
[  6500334 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1302887
[  6537374 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 1, nodes processed = 1310425
[  6574202 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 1, nodes processed = 1317888
[  6611348 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1325440
[  6648376 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1332958
[  6685052 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1340384
[  6721780 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 32, index = 1, nodes processed = 1347810
[  6759078 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1355386
[  6796072 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1362804
[  6833086 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1370341
[  6869980 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 0, nodes processed = 1377826
[  6906696 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1385205
[  6943744 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1392732
[  6980820 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 1, nodes processed = 1400323
[  7017842 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1407869
[  7054764 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1415369
[  7091590 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1422805
[  7128412 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1430283
[  7165356 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 32, index = 2, nodes processed = 1437747
[  7202432 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1445314
[  7239706 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1452842
[  7276176 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1460121
[  7313488 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1467634
[  7350190 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 32, index = 0, nodes processed = 1475056
[  7387082 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 32, index = 2, nodes processed = 1482548
